,favourites_count,followers_count,friends_count,listed_count,retweet_count,statuses_count,text_length
0,2069,582,414,54,338,14721,114
1,345,886,961,5,0,9240,131
2,359,978,162,10,1,949,140
3,1,211,0,2,0,56,92
4,19890,536,917,16,1076,9159,144
5,6830,612,920,10,205,6876,140
6,51,170,87,6,0,4463,126
7,12819,805,1318,156,906,40301,139
8,8039,228,415,15,205,9642,140
9,807,70,84,8,198,3553,76
10,122,49,154,2,0,582,106
11,61623,515,663,15,0,30141,140
12,9075,912,1081,14,10,11937,140
13,1182,364,906,5,0,6013,77
14,122,49,154,2,0,582,93
15,57654,647,658,24,351,58279,144
16,874,287,198,18,1463,3794,140
17,11175,930,656,12,205,14618,140
18,1436,4537,47,47,351,12197,144
19,16455,1365,136,17,13,25764,140
20,908,18457,844,423,0,33611,113
21,14184,1215,1266,57,17,68242,112
22,39983,1556,1378,116,1076,81522,144
23,1452,175,282,2,21,1145,139
24,433,415,487,24,125,2642,129
25,76,10,43,0,275,272,100
26,2201,1310,1593,13,0,5631,140
27,3221,144,604,3,1,7207,140
28,230,264,576,5,0,8481,108
29,12849,1005,702,98,1,42279,138
30,3825,1244,971,253,137,29782,140
31,18,1088,25,713,0,231868,87
32,57903,681,2371,17,90,61676,144
33,5855,381,631,13,17,9106,112
34,16455,1365,136,17,32,25764,150
35,417,364,587,2,0,1047,131
36,12875,282,692,8,0,29175,130
37,19947,535,384,33,7,22704,140
38,3712,436,385,10,355,2642,53
39,50788,315,506,7,6,14432,129
40,76,933,1753,7,72,2264,115
41,14826,770,1172,57,0,31802,98
42,11175,930,656,12,4,14618,85
43,2424,1119,1185,14,0,9065,111
44,16462,2519,2519,49,0,19968,139
45,3175,1569,1823,34,0,22682,126
46,6998,240,684,8,0,5541,106
47,61582,840,911,54,0,29063,139
48,3,247,6,200,0,449383,136
49,1155,91,44,2,0,1421,140
50,712,301,144,2,0,104457,136
51,2126,142,172,4,0,8973,136
52,61952,771,536,49,351,23889,144
53,0,30,1,11,0,54574,136
54,1316,253,477,2,351,1653,144
55,1672,828,1029,40,47,11269,49
56,230,264,576,5,0,8481,110
57,5440,1475,2677,135,906,83111,139
58,2068,1643,1528,76,0,105149,118
59,61947,563,223,118,0,48759,137
60,979,104,237,18,72,20260,115
61,318,133,164,4,0,1820,104
62,7218,817,1087,59,4,34634,85
63,103775,893,1989,21,1,15675,110
64,0,18,11,24,0,45958,136
65,176,688,120,112,0,433845,136
66,176,688,120,112,0,433845,136
67,29292,2920,3094,10,0,49297,140
68,13863,363,525,14,1076,15706,144
69,825,40,200,2,351,1168,144
70,379,15,131,0,21,652,139
71,17066,16196,6105,952,0,81210,68
72,226,423,349,147,0,104846,136
73,0,673,849,38,0,189942,87
74,332,3326,638,189,0,1031911,136
75,968,66,19,2,72,1316,115
76,394,112,77,10,0,2538,124
77,175,120,42,2,2,690,62
78,137,286,300,3,32,3748,150
79,95644,2163,1531,88,5,157140,114
80,302,72,366,2,82,1297,67
81,1452,175,282,2,6,1145,94
82,19681,1645,904,62,0,52404,130
83,60686,5569,4333,164,0,147792,81
84,22924,3339,3365,27,1,15694,86
85,61686,1106,749,25,12,30758,118
86,137,286,300,3,13,3748,140
87,2825,561,1128,8,1076,4855,144
88,968,66,19,2,351,1316,144
89,0,32,10,27,0,45955,136
90,60853,550,236,39,0,42264,139
91,4642,629,959,10,0,6930,90
92,3221,144,604,3,2,7207,140
93,2960,43,54,6,0,8785,136
94,1282,435,176,14,0,12960,137
95,14184,1215,1266,57,1,68242,103
96,979,104,237,18,83,20260,140
97,22,828,209,131,0,850891,87
98,84,29,132,0,205,1810,95
99,14923,457,266,35,351,20543,144
100,11728,196,567,17,351,8037,144
101,13053,293,1104,12,114,31406,140
102,1578,179,433,6,1,2937,127
103,1155,91,44,2,1076,1421,144
104,11728,196,567,17,205,8037,140
105,42533,2920,1359,55,0,87009,129
106,6368,2137,266,23,1,10343,130
107,62899,2871,4998,87,0,116172,140
108,12399,573,502,37,0,23295,134
109,34,5,31,0,351,374,144
110,80,128,167,2,0,641,132
111,28308,617,1083,67,137,20992,140
112,3588,2563,2629,61,0,82898,93
113,11,414,590,20,4,24426,94
114,137,286,300,3,83,3748,140
115,14,7,17,2,0,441,140
116,1924,80,158,0,0,2618,125
117,8662,878,203,27,906,33735,139
118,23,1294,1809,119,0,48969,136
119,46,54,96,0,0,983,61
120,3278,494,953,8,8,3986,140
121,42533,2920,1359,55,6,87009,132
122,66638,1300,1607,36,351,26274,144
123,1056,86,314,9,0,3660,87
124,149,811,406,406,0,701121,136
125,7058,531,718,24,0,8807,67
126,62848,2435,1561,86,5,73629,72
127,30115,3248,2815,54,0,38426,138
128,5509,283,89,29,1,24866,92
129,7218,817,1087,59,13,34634,140
130,2825,561,1128,8,5,4855,89
131,68173,2271,1412,532,0,154297,95
132,1695,5662,5716,25,0,109431,122
133,7654,903,1526,4,6,9421,132
134,4,29,15,2,0,1243,100
135,65441,2851,3915,80,83,69825,140
136,7890,399,935,10,0,12506,114
137,7218,817,1087,59,3,34634,101
138,6091,612,394,35,1,6291,140
139,601,256,401,8,351,6359,144
140,65441,2851,3915,80,1549,69825,140
141,6907,400,1091,10,0,9893,121
142,2960,43,54,6,2,8785,140
143,441,667,601,48,0,54062,112
144,79926,660,465,56,0,37699,35
145,0,243,55,87,0,198587,95
146,3278,494,953,8,351,3986,144
147,65441,2851,3915,80,172,69825,140
148,234,1426,276,24,0,10993,117
149,5774,4667,893,509,1,150875,110
150,19905,225,73,27,3,19952,135
151,1351,110376,188,1229,13,98099,144
152,42857,489,558,13,6,39687,132
153,3221,144,604,3,1,7207,132
154,371786,3589,5001,929,151,380657,130
155,12152,255,141,22,0,41167,81
156,371786,3589,5001,929,249,380657,49
157,104260,1804,1714,98,1,129793,116
158,23,65,106,1,0,1271,133
159,3347,165,197,9,0,3514,68
160,147,70,69,3,0,5319,124
161,25375,31,77,7,35,32783,140
162,399,121,462,2,0,1817,132
163,11570,53,220,7,1463,4543,140
164,15848,260,615,14,906,17493,139
165,1345,175,576,6,0,4641,103
166,7218,817,1087,59,10,34634,140
167,4498,96,648,2,0,714,135
168,8402,403,457,17,198,7803,76
169,2427,35474,1953,1610,3,28067,105
170,3627,192,175,60,0,7050,129
171,371786,3589,5001,929,207,380657,110
172,65527,950,1215,24,0,28312,144
173,10111,352,705,29,33,13215,117
174,19905,225,73,27,1,19952,107
175,371786,3589,5001,929,109,380657,126
176,5830,243,432,22,198,17161,76
177,91280,1421,1859,66,0,122233,107
178,27989,1631,2249,40,253,42880,144
179,61947,563,223,118,1,48759,102
180,737487,2973,123,519,60,614332,140
181,19905,225,73,27,4,19952,73
182,453,39,69,2,0,800,104
183,371786,3589,5001,929,124,380657,86
184,13863,363,525,14,172,15706,140
185,3347,165,197,9,135,3514,140
186,348,471,285,15,0,9552,122
187,7218,817,1087,59,51,34634,140
188,157,531,886,3,351,431,144
189,61947,563,223,118,3,48759,140
190,0,230,214,3,0,8921,63
191,3627,192,175,60,0,7050,109
192,5568,3027,2782,289,0,181531,90
193,100120,1455,1817,38,21,45034,143
194,11175,930,656,12,405,14618,135
195,1367,193,491,9,3,5549,140
196,11674,1416,2150,33,0,24729,117
197,3133,501,250,21,1,46285,111
198,43406,2087,3454,180,4,83456,89
199,402,61,269,6,351,3440,144
200,51557,454,877,30,0,40806,140
201,60990,1039,1386,37,2,106559,136
202,45323,142374,1345,2855,906,70324,139
203,3540,654,49,88,906,34857,139
204,1452,175,282,2,351,1145,144
205,12353,1547,1260,27,198,65026,76
206,6979,473,495,8,0,11157,59
207,394,112,77,10,0,2538,141
208,737487,2973,123,519,338,614332,114
209,1989,9127,1726,174,0,17162,136
210,631,95,136,2,1,1541,121
211,399,121,462,2,151,1817,130
212,30115,3248,2815,54,1,38426,133
213,137,286,300,3,405,3748,135
214,3906,525,893,9,0,6723,134
215,4052,1981,112,17,906,153680,139
216,4690,50,171,1,1,1893,127
217,2998,560,263,6,0,6480,99
218,862,867,9,20,2,25694,120
219,3221,144,604,3,1,7207,140
220,933,236,413,12,0,4756,126
221,7459,254,352,15,906,23750,139
222,35591,384,526,17,0,28359,136
223,12875,282,692,8,0,29175,73
224,8191,51,157,2,419,2561,133
225,8309,364,324,3,10,18479,140
226,91590,283,317,15,63,12978,140
227,62899,2871,4998,87,21,116172,139
228,3133,501,250,21,0,46285,138
229,100120,1455,1817,38,9,45034,140
230,963,76,16,2,55,194,95
231,15964,242,143,10,405,12264,135
232,345,886,961,5,63,9240,140
233,101,286,619,9,1,22245,140
234,47,15,43,0,0,347,134
235,3221,144,604,3,10,7207,140
236,4667,8315,818,113,1,11089,101
237,1695,1278,1563,14,0,20082,140
238,13863,363,525,14,83,15706,140
239,54207,1239,497,45,351,108570,144
240,100120,1455,1817,38,13,45034,140
241,227,23,298,8,198,2198,76
242,1314,522,938,6,8,954,140
243,4258,139,277,4,1463,3511,140
244,50431,2362,3016,78,0,116901,124
245,7654,903,1526,4,405,9421,135
246,20012,256,13,17,0,20125,119
247,17622,3434,866,189,355,12253,53
248,2825,561,1128,8,13,4855,66
249,143299,3037,2249,92,15,93989,140
250,10732,23322,14468,333,3,6496,132
251,453,39,69,2,0,800,84
252,17622,3434,866,189,0,12253,68
253,394,112,77,10,0,2538,136
254,11933,513,585,16,0,18079,137
255,2424,1119,1185,14,3,9065,136
256,76,933,1753,7,0,2264,120
257,17052,1593,1117,45,2,27278,139
258,329,109,146,0,0,850,126
259,7383,1537,3139,71,906,26951,139
260,17352,636,599,22,906,29636,139
261,6097,23,88,2,205,9520,95
262,7696,1392,833,33,0,7252,103
263,164,62,12,0,2,2145,90
264,29282,738,1060,64,0,28792,82
265,791,700,313,11,0,2287,99
266,6067,867,2019,49,0,18403,69
267,13782,914,187,21,205,45341,140
268,212,711,101,0,1,455,62
269,612633,3088,833,738,0,552266,65
270,12399,573,502,37,13,23295,86
271,30115,3248,2815,54,1,38426,107
272,19905,225,73,27,15,19952,128
273,7471,666,302,16,0,14987,82
274,543,350,572,15,1463,14768,140
275,17772,672,652,27,906,95622,139
276,515,632,613,48,3136,8153,140
277,462,48,121,4,0,1930,124
278,19905,225,73,27,0,19952,72
279,13782,914,187,21,351,45341,144
280,7716,871,1346,8,0,13035,68
281,62848,2435,1561,86,3,73629,46
282,75469,694,950,54,44,91867,89
283,29610,787,563,20,906,24614,139
284,825,40,200,2,1,1168,140
285,7654,903,1526,4,15,9421,128
286,2960,43,54,6,0,8785,139
287,12399,573,502,37,3,23295,140
288,19905,225,73,27,351,19952,144
289,1149,26,115,2,405,975,135
290,11572,161,106,3,2,10625,140
291,129348,341,836,16,906,53684,139
292,432,352,404,5,351,3582,144
293,422,244,549,10,0,7224,67
294,143299,3037,2249,92,5,93989,83
295,64,4160,116,91,0,103603,138
296,328,104,244,1,0,1007,88
297,64,4160,116,91,2,103603,83
298,64,4160,116,91,0,103603,71
299,19905,225,73,27,1,19952,121
300,64,4160,116,91,0,103603,138
301,3306,6853,182,502,0,34680,125
302,42533,2920,1359,55,1,87009,121
303,12875,282,692,8,0,29175,114
304,45168,1072,1078,44,3136,76013,140
305,28851,261,472,43,0,39859,135
306,1635,716,1011,10,0,2785,78
307,64,4160,116,91,0,103603,127
308,348,471,285,15,0,9552,142
309,51341,1811,1525,90,1,325138,126
310,62899,2871,4998,87,0,116172,102
311,810,72,173,1,1,1505,77
312,27863,2254,1402,92,0,47847,130
313,1124,309,681,4,0,2961,98
314,19905,225,73,27,1,19952,140
315,33111,2350,1888,43,0,34982,144
316,125,52,29,4,2,4515,140
317,1897,1152,334,22,0,1744,39
318,1726,70,63,1,351,5664,144
319,64,4160,116,91,0,103603,138
320,64,4160,116,91,0,103603,130
321,3221,144,604,3,1,7207,144
322,1505,540,1642,71,0,50944,69
323,3221,144,604,3,6,7207,132
324,954,641,459,23,0,5752,74
325,40858,687,986,56,906,34261,139
326,21199,736,965,21,2,56851,139
327,19905,225,73,27,1,19952,110
328,11175,930,656,12,0,14618,85
329,68,1351,2030,66,0,129205,98
330,64,4160,116,91,0,103603,138
331,34237,119,242,171,355,19314,53
332,345,886,961,5,351,9240,144
333,46,16,41,1,0,5152,132
334,108062,1559,473,56,0,88280,113
335,135,926,928,111,0,96067,113
336,11,830,1115,227,0,1460094,138
337,3935,29,56,3,4,9413,124
338,1023,15,110,1,205,687,140
339,1726,70,63,1,198,5664,76
340,3221,144,604,3,1,7207,148
341,2027,90,152,3,1,2503,109
342,60990,1039,1386,37,2,106559,138
343,8867,858,762,57,906,10281,139
344,42771,393,597,19,906,63179,139
345,64,4160,116,91,0,103603,110
346,53925,1606,1984,45,4,46856,140
347,1458,270,391,9,6,3405,140
348,1850,115,138,4,21,3069,139
349,28092,237205,252,2094,60,30782,111
350,138,22,90,1,1,286,80
351,37381,1789,2241,182,13,112361,144
352,208,66,116,1,3,429,140
353,318,46,69,6,0,2863,113
354,1124,309,681,4,405,2961,135
355,2139,5637,868,464,0,99501,93
356,430,2920,96,22,1023,59083,140
357,92621,24033,2562,361,6,102227,132
358,829,169,181,5,730,6001,135
359,61623,515,663,15,0,30141,112
360,394,112,77,10,0,2538,137
361,978,176,514,5,0,11227,138
362,53925,1606,1984,45,60,46856,126
363,457,34,28,2,52,862,132
364,42533,2920,1359,55,0,87009,131
365,28851,261,472,43,0,39859,140
366,6289,438,404,40,275,18767,100
367,19300,731,455,47,0,11675,140
368,5662,282,454,12,0,18580,128
369,6804,32847,14835,1073,17,58473,115
370,5822,153,361,5,0,3114,135
371,1736,102,169,28,906,13832,139
372,0,1509,121,131,0,622697,138
373,1774,1295,1739,22,2,3599,139
374,9583,370,430,7,0,7549,143
375,3347,165,197,9,0,3514,100
376,2748,461,903,10,63,6123,140
377,53925,1606,1984,45,13,46856,86
378,5076,177,286,8,1463,13085,140
379,532,1117,1796,195,0,393182,87
380,35649,263,374,16,0,13908,55
381,53925,1606,1984,45,1,46856,97
382,18331,3480,192,27,275,11158,100
383,105121,3323,1297,148,405,88974,135
384,7,2,4,0,0,196,117
385,15626,2285,935,98,109,95637,126
386,50788,315,506,7,60,14432,126
387,17246,1647,2323,285,4,285252,88
388,16849,78,249,14,906,11171,139
389,225,284,251,21,906,13022,139
390,1100,934,908,76,137,29299,140
391,24339,257,484,15,0,34603,140
392,10667,141,450,11,906,27386,139
393,208,66,116,1,3,429,63
394,53925,1606,1984,45,2,46856,140
395,57903,681,2371,17,13,61676,86
396,2960,43,54,6,0,8785,139
397,7218,817,1087,59,60,34634,126
398,0,307,372,31,0,109518,130
399,10143,414,469,7,2,7696,86
400,5777,447,1053,18,205,6004,95
401,948,132,491,2,2,2417,79
402,40942,1774,301,43,63,107319,140
403,6030,442,185,16,351,2639,144
404,14747,208,352,8,6,6223,140
405,5537,1079,96,56,0,15930,137
406,909,272,398,5,60,6163,126
407,3236,555,994,20,0,2954,130
408,5552,79,241,0,351,6123,144
409,17246,1647,2323,285,5,285252,89
410,28922,2987,3369,69,60,45421,126
411,62899,2871,4998,87,0,116172,79
412,54207,1239,497,45,0,108570,137
413,6709,2905,287,36,1,10498,86
414,3844,314,760,10,351,6987,144
415,40942,1774,301,43,61,107319,140
416,237,16,45,3,0,1213,83
417,281,236,237,5,0,793,60
418,53900,1454,1226,135,0,36162,132
419,23534,1366,723,74,906,34780,139
420,547,38,164,0,0,671,119
421,1832,156,220,6,351,3556,144
422,31,143,188,3,0,5374,84
423,62848,2435,1561,86,13,73629,138
424,3347,165,197,9,11,3514,102
425,2361,874,1743,30,1,15035,75
426,258,444,844,1,1,3812,118
427,31783,518,699,14,15,41322,140
428,1155,91,44,2,405,1421,135
429,31586,828,3355,47,0,38243,68
430,453,39,69,2,351,800,144
431,62899,2871,4998,87,0,116172,131
432,7648,131,307,1,60,19055,126
433,7169,119,77,29,60,9329,126
434,652,100,238,1,0,2793,94
435,1155,126,291,4,145,2347,139
436,3765,368,554,13,1,3354,139
437,13627,1779,2535,17,3,26391,140
438,1155,126,291,4,205,2347,140
439,4326,315,0,17,0,17046,76
440,499,2931,4022,152,14,76430,140
441,188807,3619,4008,144,21,147218,139
442,63,1348,386,964,0,189192,87
443,3278,494,953,8,0,3986,140
444,10091,318,601,7,6,3690,140
445,3347,165,197,9,98,3514,140
446,906,132,190,2,0,3346,86
447,62848,2435,1561,86,2,73629,105
448,147,84,69,0,0,2111,140
449,4,2,3,3,0,464,67
450,40942,1774,301,43,7,107319,144
451,32507,194,585,4,60,4394,126
452,125,52,29,4,0,4515,134
453,14185,1215,1266,57,60,68243,126
454,14421,79,184,3,4,8042,140
455,810,72,173,1,4,1505,140
456,19905,225,73,27,1,19952,140
457,3340,140,139,2,0,5099,79
458,62393,283,226,11,2,5597,139
459,1282,435,176,14,0,12960,116
460,29282,738,1060,64,1,28792,46
461,2960,43,54,6,0,8785,137
462,108711,1676,797,165,351,169321,144
463,14033,66,29,3,906,7266,139
464,30288,242,133,19,205,14877,140
465,195,25,29,0,1,815,140
466,95644,2163,1531,88,1,157140,140
467,23,65,106,1,0,1271,135
468,1155,126,291,4,135,2347,140
469,5702,750,1011,48,0,30113,140
470,1098,66,142,3,0,2371,117
471,1,2399,254,121,60,91300,126
472,36111,1599,1198,73,4,57572,85
473,21,522,376,10,0,42095,140
474,75824,1767,1796,91,205,73397,140
475,40942,1774,301,43,205,107319,140
476,579,1477,66,47,1,27489,59
477,10091,318,601,7,0,3690,117
478,1257,491,254,6,0,19231,59
479,258,444,844,1,351,3812,144
480,46,16,41,1,0,5152,80
481,6672,1480,1885,43,6,9370,140
482,37791,1075,2031,41,1,41681,140
483,19905,225,73,27,1,19952,135
484,21709,413,155,29,0,54119,105
485,169667,1094,1623,85,2,117466,140
486,23782,771,575,5,82,16131,67
487,72,96,27,1,0,1342,106
488,21073,1012,707,19,0,29186,129
489,0,322,306,56,0,223621,87
490,146,87,60,4,60,1480,126
491,19905,225,73,27,1,19952,134
492,6792,327,600,9,0,5386,123
493,62899,2871,4998,87,60,116172,126
494,8069,372,601,42,198,67560,76
495,8069,372,601,42,145,67560,139
496,5654,180,314,10,0,8616,99
497,61582,840,911,54,4,29063,103
498,3170,367,1000,15,0,11390,137
499,952,179,218,3,0,1894,101
500,6792,327,600,9,0,5386,117
501,3844,314,760,10,0,6987,105
502,149,810,406,406,0,701121,136
503,1127,120,203,9,61,7913,140
504,3221,144,604,3,1,7207,106
505,17246,1647,2323,285,198,285252,76
506,71468,2129,1987,133,2,87536,140
507,2400,405,793,39,22,45327,140
508,3347,165,197,9,419,3514,133
509,9054,1010,255,18,205,7834,140
510,62848,2435,1561,86,13,73629,86
511,7421,697,1437,16,906,19004,139
512,8402,403,457,17,0,7803,115
513,394,112,77,10,0,2538,126
514,9054,1010,255,18,419,7834,133
515,581,46,18,2,351,554,144
516,3744,255,75,48,0,54044,139
517,651,228,408,4,1,2916,61
518,900,167,590,7,0,1745,137
519,3351,451,1076,15,0,8654,111
520,89473,3088,3635,48,2,19834,140
521,22112,462,1536,15,0,5993,139
522,1464,124,527,4,0,7000,136
523,46923,32890,1727,1220,906,128161,139
524,89,30,200,0,65,209,140
525,6907,400,1091,10,0,9893,138
526,75824,1767,1796,91,6,73397,140
527,948,132,491,2,1,2417,138
528,9054,1010,255,18,351,7834,144
529,7169,119,77,29,17,9329,112
530,2931,112,505,1,44,2726,89
531,62393,283,226,11,60,5597,126
532,0,120,0,8,0,13825,136
533,3,247,6,200,0,449383,136
534,30288,242,133,19,351,14877,144
535,1599,126,227,7,198,7069,76
536,3935,29,56,3,1,9413,140
537,42533,2920,1359,55,0,87009,139
538,1771,1388,139,15,0,4996,114
539,20947,719,649,14,0,37737,102
540,69435,1804,902,54,0,41033,140
541,6470,108,713,11,0,8462,138
542,2198,331,0,66,0,33392,136
543,7169,119,77,29,145,9329,139
544,8665,3720,4207,59,0,199399,128
545,227,960,884,83,0,12930,87
546,2960,43,54,6,0,8785,96
547,258,444,844,1,0,3812,130
548,3844,314,760,10,15,6987,140
549,0,67,9,40,0,84696,136
550,8487,1142,872,21,0,19254,98
551,617,467,234,59,0,28407,136
552,457,34,28,2,1,862,135
553,1396,193,427,16,906,13330,139
554,5702,750,1011,48,4,30113,139
555,0,275,363,65,0,92930,87
556,42533,2920,1359,55,351,87009,144
557,968,66,19,2,15,1316,140
558,84,927,2105,138,0,156899,136
559,6792,327,600,9,0,5386,82
560,2263,10194,1080,28,0,35112,136
561,36,145,185,74,0,123662,136
562,0,30,301,1,0,1245,136
563,968,66,19,2,60,1316,126
564,1452,175,282,2,198,1145,76
565,16660,6550,7525,2322,0,145947,136
566,19905,225,73,27,1,19952,119
567,28248,529,686,26,72,13707,115
568,1,2274,397,69,0,24750,136
569,86,575,664,10,3,4253,140
570,22564,1050,76,43,2,37861,114
571,3,509,696,6,0,127,62
572,290,1339,859,100,22,11601,135
573,67616,2669,3000,86,1,202888,85
574,1170,36,319,0,906,706,139
575,67500,461,1941,17,0,46988,137
576,838,4296,1704,40,0,61898,136
577,35750,30699,4852,705,3,29603,119
578,0,44,8,31,0,81495,136
579,38991,291,1488,7,906,21767,139
580,230,264,576,5,0,8481,138
581,7438,2227,1089,176,0,24881,118
582,0,54,29,53,0,83102,136
583,4,104,68,31,0,95734,136
584,3109,235,220,13,906,79059,139
585,7654,903,1526,4,1,9421,135
586,62899,2871,4998,87,198,116172,76
587,44065,725,284,82,13,38647,86
588,61947,563,223,118,0,48759,67
589,56849,687,32,4,1,26323,140
590,71468,2129,1987,133,4,87536,85
591,1505,540,1642,71,0,50944,90
592,2,2,55,0,0,15,98
593,10236,1316,658,49,13,20495,86
594,6682,59,512,6,72,6542,115
595,31586,828,3355,47,1,38243,140
596,22564,1050,76,43,7,37861,140
597,14356,763,1066,30,0,21397,132
598,5702,750,1011,48,0,30113,126
599,40470,31954,384,1195,906,127032,139
600,5,362,181,107,0,71178,87
601,24576,1658,895,32,2,28148,140
602,16882,1094,1182,37,1463,57848,140
603,33,22,58,1,0,514,137
604,9590,3415,2734,199,3,61293,119
605,24744,640,333,44,205,54447,95
606,345,886,961,5,2,9240,130
607,589,307,614,4,1,3560,58
608,40942,1774,301,43,12,107319,140
609,6792,327,600,9,0,5386,140
610,2206,165,336,6,638,10925,129
611,1282,435,176,14,0,12960,83
612,40942,1774,301,43,13,107319,140
613,42799,806,3070,31,405,31407,135
614,230,264,576,5,1,8481,136
615,3,2434,2247,115,0,54759,87
616,10799,6936,1165,197,906,50484,139
617,12353,1547,1260,27,4,65026,103
618,16824,664,837,16,0,11605,137
619,65441,2851,3915,80,7,69825,140
620,13627,1779,2535,17,0,26391,131
621,15051,1542,141,121,3,20006,119
622,89,30,200,0,8,209,140
623,6030,385,845,20,205,3290,140
624,30115,3248,2815,54,0,38426,119
625,1695,1278,1563,14,0,20082,27
626,62899,2871,4998,87,0,116172,122
627,453,39,69,2,0,800,105
628,40942,1774,301,43,21,107319,143
629,107,50,90,0,0,542,138
630,1924,80,158,0,0,2618,135
631,15693,502,339,11,19,22206,140
632,14619,18,472,7,55,14909,140
633,5,6,37,0,0,114,138
634,74342,3171,2387,80,55,45804,128
635,19905,225,73,27,19,19952,140
636,3724,582,1032,50,906,37551,139
637,200,90,167,1,0,851,117
638,25375,31,77,7,906,32783,139
639,91280,1421,1859,66,0,122233,126
640,232,290,429,61,1,1815,140
641,534,63,92,2,0,4048,130
642,2825,561,1128,8,19,4855,140
643,1406,259,373,4,19,5959,140
644,581,46,18,2,6,554,132
645,89615,1178,709,43,13,43113,86
646,1495,232,133,7,0,5450,107
647,718,66,4,2,351,739,144
648,0,22,0,1,0,4507,27
649,718,66,4,2,205,739,140
650,7471,666,302,16,0,14987,140
651,3552,14147,10019,1246,0,73628,101
652,6470,108,713,11,55,8462,140
653,175,120,42,2,0,690,125
654,6393,138,217,4,145,5026,139
655,235382,2500,938,11,17,125307,112
656,92621,24033,2562,361,1,102227,139
657,1683,146,322,2,13,348,86
658,65441,2851,3915,80,88,69825,140
659,453,39,69,2,0,800,95
660,135,19263,1304,800,906,33577,139
661,62899,2871,4998,87,205,116172,140
662,718,66,4,2,60,739,126
663,1,11712,2054,926,0,43717,136
664,42533,2920,1359,55,19,87009,131
665,3599,5697,4324,110,0,12205,113
666,76336,4105,813,142,2,116754,122
667,13782,914,187,21,13,45341,138
668,1495,232,133,7,0,5450,107
669,30115,3248,2815,54,0,38426,90
670,71468,2129,1987,133,4,87536,140
671,104,4426,282,299,1,12570,92
672,137,286,300,3,60,3748,126
673,3765,368,554,13,198,3354,76
674,6916,663,70,34,419,16298,133
675,21978,295,904,14,0,18283,120
676,1800,116,172,11,0,1390,66
677,91591,283,317,15,19,12978,140
678,19905,225,73,27,0,19952,111
679,40470,31954,384,1195,313,127032,92
680,345,886,961,5,0,9240,70
681,34,5,31,0,0,374,135
682,1495,232,133,7,0,5450,100
683,79536,1773,949,51,1,23573,93
684,62899,2871,4998,87,42,116172,127
685,8600,1423,460,27,0,6760,139
686,53925,1606,1984,45,12,46856,114
687,137,286,300,3,88,3748,140
688,95315,342,328,96,906,109135,139
689,1406,259,373,4,1,5959,140
690,11,128,250,1,0,209,136
691,2626,65,87,9,1,3398,129
692,21,522,376,10,0,42095,98
693,11873,2146,1933,21,1,65384,71
694,4480,513,914,17,595,24050,144
695,1695,1278,1563,14,0,20082,124
696,14,59,75,3,0,1312,129
697,4197,327,382,15,338,16461,114
698,14619,18,472,7,13,14909,138
699,2923,344,469,13,0,5155,89
700,17284,543,217,28,0,43913,129
701,61682,4115,804,113,906,43346,139
702,3961,1057,1733,23,1,6426,140
703,12299,245,1220,5,80,31694,97
704,167667,1558,742,152,0,157088,74
705,24034,1626,588,134,638,142785,129
706,50,1320,1907,77,906,47149,139
707,737489,2973,123,519,249,614332,49
708,12,27,34,1,351,373,144
709,149,62,159,2,0,832,137
710,2413,310,723,11,0,14430,138
711,22523,901,1053,29,1,13513,72
712,1801,335,461,4,1,3709,73
713,141212,3627,3697,107,313,74369,92
714,87,174,533,5,61,16166,140
715,1948,288,356,7,2,7377,139
716,1946,63,185,2,13,2501,109
717,89615,1178,709,43,55,43113,140
718,158,97,48,1,351,690,144
719,109866,1614,1186,57,906,33712,139
720,1177,176,171,3,0,8698,138
721,258,444,844,1,0,3812,134
722,5128,203,767,5,63,4855,140
723,17591,578,545,6,20,2175,140
724,8526,6527,1199,37,4,123026,89
725,5128,203,767,5,145,4855,139
726,22932,452,542,100,351,47372,144
727,4,29,15,2,1,1243,83
728,17284,543,217,28,0,43913,95
729,1406,259,373,4,205,5959,140
730,19905,225,73,27,2,19952,139
731,214322,403,146,51,5,116559,90
732,462,48,121,4,0,1930,136
733,53925,1606,1984,45,1,46856,134
734,348,471,285,15,0,9552,145
735,8309,364,324,3,55,18479,140
736,2630,12620,9365,573,0,172789,87
737,1124,309,681,4,0,2961,71
738,5226,533,980,7,172,5338,140
739,62899,2871,4998,87,0,116172,48
740,6916,663,70,34,0,16298,140
741,61582,840,911,54,3,29063,111
742,921,371,590,4,0,2546,56
743,651,228,408,4,1,2916,109
744,53925,1606,1984,45,19,46856,140
745,4999,777,366,21,205,98090,140
746,2205,191,405,16,0,15097,116
747,1695,5662,5716,25,0,109431,101
748,3,165,65,72,0,150627,87
749,12399,573,502,37,0,23295,138
750,22523,901,1053,29,2,13513,129
751,173,714,412,30,1,2022,67
752,5128,203,767,5,72,4855,115
753,239,1376,10,39,2,41934,137
754,165023,1378,802,220,55,114881,140
755,29282,738,1060,64,0,28792,48
756,2532,9957,6365,297,13,64266,140
757,2997,302,845,10,0,6554,129
758,31287,777,473,38,0,26416,117
759,145,148,95,1,0,835,104
760,462,48,121,4,0,1930,81
761,91280,1421,1859,66,19,122233,140
762,10115,193,1114,4,12,5287,136
763,89615,1178,709,43,4,43113,140
