,favourites_count,followers_count,friends_count,listed_count,retweet_count,statuses_count,text_length
2992,165023,1378,802,220,90,114881,144
2993,211,292,80,25,0,11002,80
2994,7492,239,529,13,0,4876,51
2995,1,2399,254,121,20,91300,140
2996,92621,24033,2562,361,1,102227,67
2997,2206,89,57,2,9,3928,140
2998,4344,699,1206,21,0,8924,138
2999,29282,738,1060,64,0,28792,49
3000,12079,907,2235,14,56,23995,140
3001,19905,225,73,27,1,19952,140
3002,8665,3720,4207,59,1,199399,46
3003,57302,505,1137,49,13,61171,121
3004,862,867,9,20,0,25694,87
3005,2983,78,71,2,153,3688,140
3006,270088,4718,4707,254,0,236386,130
3007,903,508,1366,7,0,2313,136
3008,46843,849,467,66,351,103238,144
3009,7451,137,357,6,0,4358,128
3010,87517,1894,954,40,48,112088,140
3011,21943,275,180,14,0,15063,116
3012,6542,1748,509,77,0,34730,138
3013,5702,750,1011,48,0,30113,132
3014,12185,507,885,41,351,14550,144
3015,46843,849,467,66,205,103238,140
3016,1105,148,471,3,0,1723,119
3017,209,576,470,13,153,7771,140
3018,921,371,590,4,0,2546,57
3019,19905,225,73,27,20,19952,139
3020,104260,1804,1714,98,2,129793,47
3021,48989,473,406,20,1,21511,116
3022,15693,502,339,11,3,22206,121
3023,711,98,202,1,61,1796,140
3024,10115,193,1114,4,20,5287,140
3025,10143,414,469,7,351,7696,144
3026,1728,79,232,3,0,3446,134
3027,2825,561,1128,8,0,4855,132
3028,21943,275,180,14,0,15063,105
3029,13127,929,1444,11,90,6425,144
3030,54,313,334,1,0,5876,62
3031,61947,563,223,118,6,48759,140
3032,6208,924,1540,48,20,17769,139
3033,3058,155,361,3,114,3006,140
3034,151,117,212,1,0,932,104
3035,690,805,988,5,0,1167,136
3036,31586,828,3355,47,55,38243,140
3037,368717,1575,1104,284,20,358427,140
3038,1282,435,176,14,0,12960,116
3039,252001,1613,1359,103,17,103816,115
3040,5624,689,177,10,216,7050,140
3041,7355,510,606,77,0,14662,91
3042,252001,1613,1359,103,205,103816,140
3043,2093,465,837,43,1,59350,103
3044,7451,137,357,6,0,4358,139
3045,63496,1751,2469,33,351,58063,144
3046,7492,239,529,13,0,4876,67
3047,19687,2268,4763,103,58,17721,130
3048,4344,699,1206,21,0,8924,137
3049,807,288,1118,3,0,4057,120
3050,27587,290,580,8,0,12478,60
3051,342,25,42,0,5,2678,103
3052,98901,1405,755,103,0,96721,127
3053,295,179,263,1,0,1130,39
3054,211,292,80,25,0,11002,99
3055,10,15,120,0,0,201,137
3056,6898,151,252,19,906,14378,139
3057,19905,225,73,27,1,19952,135
3058,9353,963,825,29,1,32731,107
3059,12152,1517,1372,103,5,329701,140
3060,6005,318,641,6,0,5408,56
3061,23114,12083,9021,163,22,17547,128
3062,6030,385,845,20,0,3290,111
3063,209,576,470,13,22,7771,128
3064,1257,491,254,6,0,19231,140
3065,364,62,163,5,0,4694,73
3066,92,100,38,1,0,857,89
3067,70547,930,619,67,8,120787,129
3068,31586,828,3355,47,0,38243,60
3069,368717,1575,1104,284,2,358427,129
3070,5702,750,1011,48,0,30113,40
3071,2424,1119,1185,14,0,9065,120
3072,7218,817,1087,59,55,34634,140
3073,19905,225,73,27,1,19952,87
3074,281,236,237,5,0,793,129
3075,761,51,43,5,0,2973,139
3076,90,126,180,1,0,290,116
3077,21943,275,180,14,0,15063,140
3078,1640,142,409,20,90,7179,144
3079,30115,3248,2815,54,0,38426,49
3080,8665,3720,4207,59,0,199399,119
3081,0,120,0,8,0,13825,125
3082,6758,795,157,9,1549,23169,140
3083,270088,4718,4707,254,0,236386,135
3084,64,4160,116,91,0,103603,108
3085,29369,1009,1362,50,3,29018,118
3086,2,71,19,13,0,6452,132
3087,802,107,373,5,186,5004,131
3088,64,4160,116,91,0,103603,72
3089,46843,849,467,66,238,103238,135
3090,445,96,226,2,20,534,140
3091,335,20,49,1,90,161,144
3092,190958,4872,3068,281,0,236620,138
3093,2424,1119,1185,14,4,9065,140
3094,19905,225,73,27,0,19952,65
3095,191705,1701,1202,141,22,174127,128
3096,46843,849,467,66,219,103238,144
3097,20851,572,685,19,1463,13375,140
3098,561,2902,1582,494,906,41699,139
3099,64,4160,116,91,0,103603,135
3100,32244,3705,3042,536,906,143165,139
3101,211,802,461,55,20,39667,108
3102,3804,1622,1459,15,198,7617,76
3103,18296,768,542,32,395,76508,137
3104,3351,451,1076,15,0,8654,138
3105,123,37,78,0,351,294,144
